Record_Time,Year,Gender,Difficulty_Falling_Asleep,Sleep_Hours_Total,Waking_Up_During_Night,Overall_Sleep_Quality,Sleep_Impact_on_Concentration,Daytime_Fatigue,Sleep_Impact_on_Attendance,Sleep_Impact_on_Deadlines,Phone_Usage_Before_Sleep,Caffeine_Intake,Exercise_Frequency,Academic_Stress_Level,GPA_Rating,Academic_Burnout_Score,Sleep_Hygiene_Risk,Stress_Predicted
10/24/2024 16:51:15,4,0,3,7.5,3,4,2,3,3,2,3,1,2,2,3,4,9,1.8161706824400188
10/24/2024 16:51:51,3,0,3,7.5,3,4,3,2,2,3,2,2,2,1,4,9,6,1.8914799657491832
10/24/2024 16:52:21,1,1,2,7.5,2,4,3,3,2,3,3,3,3,2,2,9,6,2.152480565363536
10/24/2024 16:53:00,3,0,3,8.5,2,2,3,3,1,1,2,2,4,3,5,3,6,2.191863805062333
10/24/2024 16:53:25,4,0,3,7.5,3,5,4,2,2,2,2,2,3,1,3,8,6,1.9250212123533341
10/24/2024 16:53:53,2,0,3,7.5,3,5,2,1,2,1,2,3,1,2,2,2,6,1.7166114637117638
10/24/2024 16:54:24,3,0,2,7.5,3,4,2,3,2,1,1,1,0,0,4,2,2,1.3738127655865313
10/24/2024 16:54:50,3,0,3,8.5,4,4,4,2,3,2,3,1,1,1,4,8,9,1.8829580971871556
10/24/2024 16:55:18,3,0,3,8.5,3,3,2,1,1,2,1,1,2,3,3,4,3,1.9206332697845137
10/24/2024 16:56:33,3,0,4,8.5,4,5,4,4,4,2,3,2,3,2,1,8,12,2.442781167094639
10/24/2024 16:57:04,2,1,3,7.5,4,2,3,2,4,3,2,3,2,2,3,9,6,1.9603058257979742
10/24/2024 16:58:21,3,0,3,8.5,3,4,3,2,4,3,2,4,2,2,3,9,6,1.9498686803503702
10/24/2024 16:58:40,2,0,3,7.5,3,2,1,2,2,1,0,1,2,1,3,1,0,1.668794992938569
10/24/2024 16:59:52,2,1,3,6.5,2,4,3,2,2,3,2,3,2,2,2,9,6,2.086319941426423
10/24/2024 17:00:21,2,0,2,8.5,3,3,4,2,3,2,3,1,1,2,4,8,6,1.81626150747372
10/24/2024 17:00:26,4,0,2,4.5,2,4,3,3,3,3,3,3,3,2,1,9,6,2.191190927505639
10/24/2024 17:00:50,1,0,3,8.5,2,3,1,0,2,2,2,1,3,1,4,2,6,1.6946731319356865
10/24/2024 17:01:57,3,0,3,7.5,4,3,3,2,3,3,3,3,3,2,2,9,9,2.2140275577160917
10/24/2024 17:02:23,2,0,2,6.5,3,4,1,2,2,2,2,2,2,2,3,2,4,1.6096921060611595
10/24/2024 17:03:24,3,0,4,8.5,4,4,1,2,1,2,2,2,2,1,3,2,8,1.7435141913839283
10/24/2024 17:03:46,1,0,4,7.5,1,3,2,1,2,2,1,2,2,2,5,4,4,1.7647789621118883
10/24/2024 17:04:15,3,0,3,7.5,3,4,3,3,1,2,3,1,2,2,2,6,9,1.9987046585885337
10/24/2024 17:04:15,4,0,1,4.5,1,3,2,2,1,1,1,1,1,1,3,2,1,1.547478054010764
10/24/2024 17:06:35,2,0,3,7.5,4,4,3,2,3,2,3,3,2,3,4,6,9,1.8246688372113695
10/24/2024 17:07:01,1,0,3,7.5,2,4,0,2,1,2,1,3,3,2,4,0,3,1.676078318869976
10/24/2024 17:07:29,2,0,1,6.5,1,2,3,3,2,0,1,1,1,1,5,0,1,1.4866855849467515
10/24/2024 17:08:29,4,0,4,8.5,3,5,3,2,2,3,2,4,3,2,3,9,8,2.0162775972805913
10/24/2024 17:08:59,2,1,3,8.5,3,4,2,3,3,1,3,1,3,2,2,2,9,2.0167078130233573
10/24/2024 17:10:05,3,0,2,7.5,2,4,2,3,3,2,3,2,2,2,3,4,6,1.7556113414230472
